"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11664","SPEC: test","spec","2026-07-01","passed","2026-07-01","","product_details/ideal/verify-product-detail--tablet--guest--en.spec.ts","",""
"","32977","SPEC: test","spec","2026-07-01","passed","2026-07-01","","products/ideal/search-product--tablet--guest--en.spec.ts","",""
"","34189","SPEC: test","spec","2026-07-01","passed","2026-07-01","","_home/ideal/subscription--tablet--guest--en.spec.ts","",""
"","29773","SPEC: _home — Logout User","desktop","2026-07-01","passed","2026-07-01","","_home/ideal/logout-user--mobile--registered--en.spec.ts","",""
"","18676","SPEC: test","spec","2026-07-01","passed","2026-07-01","","_home/ideal/subscription--desktop--registered--en.spec.ts","",""
"","21821","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","view_cart/ideal/remove-product--tablet--registered--en.spec.ts","",""
"","36574","SPEC: test","spec","2026-07-01","passed","2026-07-01","","view_cart/ideal/subscription-in-cart--tablet--guest--en.spec.ts","",""
"","16603","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","_home/ideal/subscription--desktop--registered--en.spec.ts","",""
"","30416","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","products/ideal/verify-all-products--mobile--guest--en.spec.ts","",""
"","40356","SPEC: test","spec","2026-07-01","passed","2026-07-01","","product_details/ideal/add-review--desktop--registered--en.spec.ts","",""
"","48791","SPEC: test","spec","2026-07-01","passed","2026-07-01","","login/ideal/login-correct--mobile--guest--en.spec.ts","",""
"","47097","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","_home/ideal/register-user--tablet--guest--en.spec.ts","",""
"","37031","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","_home/ideal/subscription--mobile--guest--en.spec.ts","",""
"","16609","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","_home/ideal/subscription--desktop--registered--en.spec.ts","",""
"","40136","SPEC: test","spec","2026-07-01","passed","2026-07-01","","_home/ideal/test-cases-navigation--tablet--guest--en.spec.ts","",""
"","15818","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","products/ideal/verify-all-products--desktop--registered--en.spec.ts","",""
"","40443","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","login/ideal/login-existing-email--mobile--guest--en.spec.ts","",""
"","20022","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","login/ideal/login-correct--tablet--guest--en.spec.ts","",""
"","21523","SPEC: login — Login incorrect credentials","mobile","2026-07-01","passed","2026-07-01","","login/ideal/login-incorrect--desktop--guest--en.spec.ts","",""
"","11980","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","products/ideal/verify-all-products--mobile--guest--en.spec.ts","",""
"","34681","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","products/ideal/search-product--tablet--guest--en.spec.ts","",""
"","20006","SPEC: contact_us — Contact Us Form","spec","2026-07-01","passed","2026-07-01","","contact_us/ideal/contact-us-form--desktop--guest--en.spec.ts","",""
"","11110","SPEC: products — Search Product","mobile","2026-07-01","passed","2026-07-01","","products/ideal/search-product--desktop--guest--en.spec.ts","",""
"","23146","SPEC: _home — Logout User","desktop","2026-07-01","passed","2026-07-01","","_home/ideal/logout-user--tablet--registered--en.spec.ts","",""
"","22127","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","_home/ideal/test-cases-navigation--desktop--registered--en.spec.ts","",""
"","5537","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","view_cart/ideal/remove-product--mobile--registered--en.spec.ts","",""
"","34564","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","view_cart/ideal/subscription-in-cart--tablet--guest--en.spec.ts","",""
"","8134","SPEC: test","spec","2026-07-01","passed","2026-07-01","","products/ideal/verify-all-products--tablet--guest--en.spec.ts","",""
"","17379","SPEC: login — Login correct credentials","desktop","2026-07-01","passed","2026-07-01","","login/ideal/login-correct--desktop--guest--en.spec.ts","",""
"","4785","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","login/ideal/login-incorrect--tablet--guest--en.spec.ts","",""
"","6412","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","view_cart/ideal/subscription-in-cart--tablet--guest--en.spec.ts","",""
"","33889","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","view_cart/ideal/subscription-in-cart--mobile--guest--en.spec.ts","",""
"","12192","SPEC: _home — Subscription","desktop","2026-07-01","passed","2026-07-01","","_home/ideal/subscription--desktop--guest--en.spec.ts","",""
"","16905","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","login/ideal/login-correct--mobile--guest--en.spec.ts","",""
"","5135","SPEC: view_cart — Subscription in Cart","desktop","2026-07-01","passed","2026-07-01","","view_cart/ideal/subscription-in-cart--desktop--guest--en.spec.ts","",""
"","19839","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","_home/ideal/test-cases-navigation--tablet--guest--en.spec.ts","",""
"","6856","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","view_cart/ideal/subscription-in-cart--desktop--registered--en.spec.ts","",""
"","33642","SPEC: test","spec","2026-07-01","passed","2026-07-01","","contact_us/ideal/contact-us-form--tablet--guest--en.spec.ts","",""
"","5469","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","contact_us/ideal/contact-us-form--mobile--guest--en.spec.ts","",""
"","21697","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","products/ideal/verify-all-products--desktop--registered--en.spec.ts","",""
"","22482","SPEC: products — Search Product","spec","2026-07-01","passed","2026-07-01","","products/ideal/search-product--desktop--guest--en.spec.ts","",""
"","8237","SPEC: test","spec","2026-07-01","passed","2026-07-01","","products/ideal/verify-all-products--mobile--guest--en.spec.ts","",""
"","22603","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","_home/ideal/subscription--tablet--guest--en.spec.ts","",""
"","49031","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","login/ideal/login-correct--tablet--guest--en.spec.ts","",""
"","9607","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","product_details/ideal/verify-product-detail--mobile--guest--en.spec.ts","",""
"","22363","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","products/ideal/verify-all-products--tablet--guest--en.spec.ts","",""
"","8202","SPEC: test","spec","2026-07-01","passed","2026-07-01","","products/ideal/verify-all-products--desktop--registered--en.spec.ts","",""
"","35809","SPEC: _home — Logout User","mobile","2026-07-01","passed","2026-07-01","","_home/ideal/logout-user--mobile--registered--en.spec.ts","",""
"","44186","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","_home/ideal/register-user--mobile--guest--en.spec.ts","",""
"","26954","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","product_details/ideal/verify-product-detail--tablet--guest--en.spec.ts","",""
"","23902","SPEC: product_details — Verify Product Detail","mobile","2026-07-01","passed","2026-07-01","","product_details/ideal/verify-product-detail--desktop--guest--en.spec.ts","",""
"","5848","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","view_cart/ideal/remove-product--mobile--registered--en.spec.ts","",""
"","6285","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","view_cart/ideal/subscription-in-cart--mobile--guest--en.spec.ts","",""
"","41739","SPEC: test","desktop","2026-07-01","passed","2026-07-01","","products/ideal/search-product--tablet--guest--en.spec.ts","",""
"","20231","SPEC: test","spec","2026-07-01","passed","2026-07-01","","products/ideal/search-product--desktop--registered--en.spec.ts","",""
"","11907","SPEC: products — Search Product","desktop","2026-07-01","passed","2026-07-01","","products/ideal/search-product--desktop--guest--en.spec.ts","",""
"","8472","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","product_details/ideal/verify-product-detail--tablet--guest--en.spec.ts","",""
"","18916","SPEC: view_cart — Subscription in Cart","mobile","2026-07-01","passed","2026-07-01","","view_cart/ideal/subscription-in-cart--desktop--guest--en.spec.ts","",""
"","23116","SPEC: _home — Test Cases Navigation","mobile","2026-07-01","passed","2026-07-01","","_home/ideal/test-cases-navigation--desktop--guest--en.spec.ts","",""
"","59452","SPEC: test","spec","2026-07-01","passed","2026-07-01","","login/ideal/login-correct--tablet--guest--en.spec.ts","",""
"","8493","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","product_details/ideal/verify-product-detail--desktop--registered--en.spec.ts","",""
"","35847","SPEC: _home — Register User","spec","2026-07-01","passed","2026-07-01","","_home/ideal/register-user--desktop--guest--en.spec.ts","",""
"","5027","SPEC: test","spec","2026-07-01","passed","2026-07-01","","contact_us/ideal/contact-us-form--mobile--guest--en.spec.ts","",""
"","32970","SPEC: test","mobile","2026-07-01","passed","2026-07-01","","product_details/ideal/add-review--mobile--guest--en.spec.ts","",""
"","46796","SPEC: _home — Logout User","mobile","2026-07-01","passed","2026-07-01","","_home/ideal/logout-user--tablet--registered--en.spec.ts","",""
"","32359","SPEC: test","spec","2026-07-01","failed","2026-07-01","","view_cart/ideal/remove-product--mobile--registered--en.spec.ts","",""
"","33002","SPEC: _home — Logout User","spec","2026-07-01","passed","2026-07-01","","_home/ideal/logout-user--desktop--registered--en.spec.ts","",""
